# x_m,y_m,w_tr_right_m,w_tr_left_m
-126.1543,407.9646,5.0790,5.6350
-121.9444,410.5319,5.1280,5.7300
-117.3731,412.4131,5.3430,5.9630
-112.5111,413.4530,5.5760,6.3010
-107.5853,413.5551,5.7690,6.6270
-102.8276,412.6251,5.8370,6.7820
-98.4153,410.6373,5.8390,6.7410
-94.2823,407.8736,5.8240,6.6550
-90.2945,404.7017,5.8100,6.5680
-86.3190,401.4856,5.7960,6.4820
-82.2863,398.4223,5.7820,6.3960
-78.2145,395.4752,5.7680,6.3100
-74.1285,392.5906,5.7540,6.2230
-70.0511,389.7188,5.7390,6.1370
-65.9885,386.8419,5.7250,6.0510
-61.9389,383.9576,5.7110,5.9650
-57.9004,381.0636,5.6970,5.8790
-53.8714,378.1576,5.6830,5.7920
-49.8498,375.2375,5.6690,5.7060
-45.8340,372.3010,5.6540,5.6200
-41.8221,369.3457,5.6210,5.6170
-37.8122,366.3696,5.5840,5.6350
-33.8025,363.3702,5.5460,5.6530
-29.7913,360.3454,5.5090,5.6710
-25.7766,357.2929,5.4710,5.6890
-21.7567,354.2105,5.4340,5.7070
-17.7297,351.0960,5.3960,5.7250
-13.6930,347.9515,5.3590,5.7430
-9.6075,344.9904,5.3910,5.6430
-5.3827,342.7202,5.6920,5.0920
-0.9246,341.6704,6.2550,4.9490
3.7906,342.3073,6.4670,5.5090
8.2396,344.6064,6.1640,6.2910
11.7907,348.2332,6.0880,6.1130
14.9398,352.2364,6.0120,5.9340
18.3172,355.8859,5.9350,5.7560
21.6573,359.6179,5.8590,5.5780
24.9576,363.3831,5.7820,5.4010
29.0508,365.7045,4.9620,6.1840
33.8941,366.0479,6.0750,5.5720
38.6872,364.8096,5.4030,5.3450
43.1842,362.6252,4.9510,5.8650
47.5514,360.1659,5.5860,6.1200
51.8389,357.5883,6.2230,6.3760
56.0649,354.9195,6.8600,6.6320
60.2476,352.1867,6.9710,6.6440
64.4052,349.4169,6.8290,6.5370
68.5559,346.6372,6.6860,6.4310
72.7179,343.8747,6.5440,6.3240
76.9091,341.1559,6.4020,6.2180
